id,anganwadi_centers,anganwadi_workers,anganwadi_helpers,aadhar_verified_beneficiaries,eligible_beneficiaries
26228,2933,2757,2482,137802,137816
26229,2856,2749,2348,225768,184509
26230,2563,2450,2071,102022,102022
26231,4199,3874,3294,150533,150533
26232,1222,1211,1097,51323,51324
26233,2782,2692,2464,86342,86344
26234,1591,1561,1415,120040,120111
26235,2755,2505,1975,232060,232114
26236,1568,1409,1218,157825,130554
26237,2150,2150,2132,75474,75949
26238,2858,2857,2849,140947,141569
26239,1561,1551,1539,48830,48940
26240,2504,2504,2497,102184,102596
26241,1348,1348,1346,80192,81044
26242,2723,2720,2709,115000,115412
26243,2050,2050,2041,60419,60566
26244,2938,2930,2917,197538,198584
26245,3808,3807,3805,440620,440665
26246,2838,2837,2817,175546,175599
26247,1389,1389,1379,38874,38890
26248,3061,3050,3004,145761,147038
26249,3016,3013,3004,150764,151214
26250,876,876,875,68594,51533
26431,172,165,128,6733,6774
26432,13,12,8,408,410
26433,661,556,631,28433,28470
26434,9,9,7,787,787
26505,774,637,521,52035,52247
26506,1267,1060,878,106322,106339
26507,1806,1451,1072,170378,170384
26508,1697,1353,996,159208,159213
26509,2023,1523,1233,153367,153575
26510,1336,1082,700,121199,121241
26511,2035,1592,1253,147483,147555
26512,2080,1685,1381,114581,114588
26513,1162,946,892,117963,118074
26514,941,796,643,70484,70489
26515,1401,1197,1048,100882,100884
26516,1052,846,592,70299,70311
26517,1796,1461,927,119416,119801
26518,2001,1815,1306,178098,178112
26519,692,549,449,49372,49447
26520,633,521,420,40991,40991
26521,1599,1276,1085,100247,100265
26522,491,417,350,40118,40119
26523,1799,1144,947,108820,109086
26524,1454,1058,823,90365,76892
26525,959,734,605,74666,74756
26526,2697,2170,1793,227999,228292
26527,1552,1277,810,74102,74170
26528,1301,1084,894,95091,95092
26529,1749,1417,1137,129099,129373
26530,492,398,311,23466,23472
26531,1065,776,630,57976,58036
26532,1762,1565,1328,143560,143761
26533,1260,1030,790,66449,66532
26534,1505,1327,1147,95018,95129
26535,1850,1596,1366,186175,186227
26536,1261,1081,887,96909,96914
26537,969,896,785,87237,87550
26538,1512,1276,1118,131241,131264
26539,2143,1751,1491,162881,162901
26540,1075,786,609,92557,92658
26541,1788,1456,1291,134238,134362
26542,1504,1179,1106,138549,112979
26543,1290,1105,675,47381,47484
26544,2061,1864,1040,76865,59778
26545,788,714,547,40604,40648
26546,970,772,571,99669,99746
26547,1065,994,710,76444,76520
26548,695,667,508,26721,26744
26549,644,603,497,29792,22879
26550,713,647,436,47407,47497
26551,1193,1091,749,67522,67602
26552,777,721,550,48304,48309
26553,1840,1701,1188,73746,73762
26554,1006,868,559,52482,41611
26555,1437,1323,969,40317,40327
26556,1163,1111,843,53726,53807
26557,974,873,580,37430,37474
26558,1076,1023,735,55581,55637
26559,793,726,553,105973,105974
26560,640,544,321,17971,18001
26561,1132,990,595,43491,43542
26562,2093,1950,1392,81420,81469
26563,704,679,514,45071,45125
26564,931,826,548,52672,52766
26565,1501,1429,921,117447,117585
26566,706,654,488,36881,36917
26567,586,528,406,37579,37590
26568,1602,1504,1103,122356,122420
26569,1504,1426,1096,100524,100607
26570,1150,1062,865,71207,71211
26571,1209,1134,917,51907,51948
26572,1129,1058,759,53545,53665
26573,589,567,387,22771,22810
26574,919,837,617,47655,47720
26575,901,842,636,46506,46550
26701,3314,3147,1686,95508,95444
26702,1908,1872,1656,82608,82615
26703,2302,2278,2022,147962,148019
26704,2275,2183,1741,91876,91885
26705,1888,1843,1837,61799,61814
26706,2420,2349,1739,96244,96248
26707,1726,1667,1586,71433,71446
26708,1556,1484,1401,83604,83614
26709,2226,2194,1862,99785,99792
26710,1480,1447,1408,97869,97880
26711,1986,1959,1876,92564,92585
