id,anganwadi_centers,anganwadi_workers,anganwadi_helpers,aadhar_verified_beneficiaries,eligible_beneficiaries
22341,3420,3200,2572,255859,256483
22342,888,813,723,29609,29621
22343,2180,2021,1670,103569,103830
22344,1960,1817,1510,145725,145936
22345,2558,2428,1990,82751,82756
22346,2933,2761,2474,132011,132149
22347,2856,2752,2317,242457,200206
22348,2563,2477,2097,104141,104267
22349,4199,3927,3356,145780,145781
22350,1222,1211,1129,48168,48177
22351,2782,2688,2375,86527,86537
22352,1591,1543,1320,124221,125089
22353,2755,2429,1813,227161,227353
22354,1568,1407,1194,157332,130255
22355,2150,2149,2128,79159,81435
22356,2858,2849,2848,147820,150166
22357,1561,1549,1516,50830,51423
22358,2504,2502,2494,156541,159050
22359,1348,1348,1341,85511,88275
22360,2723,2719,2705,123049,124515
22361,2050,2049,2012,65721,66780
22362,2938,2934,2901,202829,206164
22363,3808,3806,3789,496481,496750
22364,2838,2829,2797,181582,181857
22365,1389,1387,1372,44458,44538
22366,3061,3055,2996,151164,155291
22367,3016,3015,2999,158113,160358
22368,876,876,874,71827,55113
22549,172,165,130,6603,6722
22550,13,13,8,468,470
22551,661,542,575,27245,27368
22552,9,9,7,775,776
22623,774,644,525,52987,53620
22624,1267,1010,839,108997,109035
22625,1806,1319,1011,181178,181193
22626,1697,1393,1006,168592,168640
22627,2023,1567,1239,154965,155587
22628,1336,1107,706,122771,122810
22629,2035,1644,1272,149909,150014
22630,2080,1741,1403,120323,120329
22631,1162,964,914,123725,124062
22632,941,717,580,72662,72669
22633,1401,1146,1052,106409,106437
22634,1052,863,595,70788,70813
22635,1796,1499,950,126987,129399
22636,2001,1653,1194,181010,181033
22637,692,567,451,50321,50590
22638,633,544,424,43199,43205
22639,1599,1314,1104,99331,99360
22640,491,426,351,44708,44714
22641,1799,1157,976,112982,114134
22642,1454,1115,856,91896,77945
22643,959,746,606,76049,76331
22644,2697,2206,1794,241299,242209
22645,1552,1297,808,69884,70042
22646,1301,1071,875,96048,96052
22647,1749,1433,1150,141502,142874
22648,492,417,311,24991,25012
22649,1065,795,643,61847,61973
22650,1762,1328,1305,148646,149582
22651,1260,1056,803,68188,68758
22652,1505,1275,1136,93170,93508
22653,1850,1630,1168,183920,184052
22654,1261,1017,858,101352,101362
22655,969,818,593,88222,89023
22656,1512,1297,1119,135321,135328
22657,2143,1713,1334,171377,171590
22658,1075,805,618,95406,95784
22659,1788,1508,1307,137212,137516
22660,1504,1241,1120,148515,120978
22661,1278,1110,690,53105,54371
22662,2061,1893,1088,71266,59331
22663,788,721,628,42116,42706
22664,970,785,611,112032,112545
22665,1065,1003,742,73706,74111
22666,695,669,549,27362,27585
22667,644,601,497,28076,22814
22668,713,647,437,49442,50227
22669,1193,1098,780,70893,71468
22670,777,715,570,49853,49890
22671,1840,1722,1224,73466,73598
22672,1006,868,559,47808,43219
22673,1437,1329,975,41198,41326
22674,1163,1113,866,56044,56633
22675,974,880,599,42682,43469
22676,1076,1023,735,56251,56741
22677,793,733,563,116037,116042
22678,640,544,318,17342,17777
22679,1132,985,610,47031,47569
22680,2093,1970,1418,81571,82159
22681,704,681,518,45317,45674
22682,931,826,548,57024,58049
22683,1501,1430,934,126091,126758
22684,706,653,491,37569,38074
22685,586,530,407,37104,37137
22686,1602,1527,1129,134905,137169
22687,1504,1435,1099,107293,107758
22688,1150,1075,883,72784,72789
22689,1209,1133,934,52218,52513
22690,1129,1071,799,58577,60007
22691,589,568,386,22943,23310
22692,919,854,627,49328,49909
22693,901,842,637,47681,47972
22819,3314,3133,1691,101353,93735
22820,1908,1871,1657,84343,84383
22821,2302,2278,2022,147669,148152
22822,2275,2183,1741,99765,99856
22823,1888,1843,1837,63644,63762
22824,2420,2350,1739,93796,93916
22825,1726,1667,1586,78018,78136
22826,1556,1482,1399,81732,81907
22827,2226,2195,1863,106042,106092
22828,1480,1442,1403,103124,103413
22829,1986,1959,1876,101865,102050
22830,1707,1621,1498,79094,79181
22831,1886,1865,1786,181496,181935
22832,1663,1635,1588,112902,113295
22833,1475,1230,1288,104724,104757
22834,2031,1955,1887,112721,113150
22835,2075,2027,1375,59719,51986
22836,2903,2817,2547,112710,112881
22837,2934,2852,2508,114856,115371
22838,2824,2760,2189,94865,95451
22839,3385,3252,2666,99994,100152
22840,2492,2461,2049,110550,110896
22841,776,764,682,99899,100081
22842,2499,2445,2101,70901,70938
22843,1626,1607,1507,86873,87012
22844,2389,2315,2116,143754,131286
23100,2444,2247,1881,148710,149499
23101,1358,1303,1112,118328,118525
23102,5656,5467,4803,470048,470107
23103,1277,1165,947,55918,55924
23104,1586,1429,1154,49128,49181
23105,2877,2490,2031,198459,198677
23106,2051,1794,1683,129764,130633
23107,1444,1348,1184,44309,44315
23108,2014,1969,1803,68171,68228
23109,1858,1789,1520,55789,55800
23110,2428,2348,2128,123837,123867
23111,2131,2068,1928,112362,112363
23112,1771,1682,1416,115473,115491
23113,1622,1573,1359,116261,116417
23114,1248,1194,1153,86419,86445
23115,2691,2376,1799,71992,72011
23116,1991,1942,1831,143332,143337
23117,3420,3203,2577,218151,218579
23118,888,814,717,24311,24317
23119,2180,2027,1673,86821,86966
23120,1960,1816,1509,142597,142800
23121,2558,2441,1999,75680,75683
23122,2933,2765,2475,131449,131560
23123,2856,2752,2329,238323,196497
23124,2563,2479,2097,99533,99566
23125,4199,3930,3349,145855,145857
23126,1222,1208,1122,48419,48430
23127,2782,2684,2401,86735,86746
23128,1591,1544,1323,120450,121034
23129,2755,2430,1814,216803,216965
23130,1568,1408,1193,150287,124036
23131,2150,2148,2125,77917,79791
23132,2858,2856,2847,144050,145997
23133,1561,1549,1532,49989,50438
23134,2504,2503,2495,107349,108535
23135,1348,1348,1343,81990,84259
23136,2723,2719,2706,120754,122041
23137,2050,2048,2016,60884,61549
23138,2938,2934,2911,197971,200895
23139,3808,3806,3792,483796,484053
23140,2838,2829,2800,179710,179971
23141,1389,1388,1375,41928,41980
23142,3061,3054,2996,146620,150194
23143,3016,3014,2994,155924,157805
23144,876,875,875,70965,54245
23325,172,165,131,6714,6804
23326,13,13,8,498,500
23327,661,542,609,27306,27396
23328,9,9,7,728,729
23399,774,643,525,52610,53235
23400,1267,1009,839,108334,108366
23401,1806,1316,1002,179930,179949
23402,1697,1390,1005,168772,168811
23403,2023,1560,1237,156062,156672
23404,1336,1106,705,121991,122028
23405,2035,1644,1271,149534,149635
23406,2080,1739,1399,118162,118164
23407,1162,963,911,122103,122428
23408,941,715,578,72345,72352
23409,1401,1132,1050,106382,106412
23410,1052,859,593,70756,70780
23411,1796,1498,939,124385,126444
23412,2001,1652,1192,180183,180213
23413,692,566,451,49708,49960
23414,633,542,422,42519,42525
23415,1599,1306,1092,98699,98731
23416,491,426,351,44437,44441
23417,1799,1156,974,111015,112057
23418,1454,1112,849,93090,79357
23419,959,746,606,75750,76017
23420,2697,2203,1793,239249,240120
23421,1552,1296,808,70491,70641
23422,1301,1071,874,96272,96272
23423,1749,1431,1146,140895,142178
23424,492,417,311,24783,24803
23425,1065,794,637,61773,61891
23426,1762,1326,1305,148375,149289
23427,1260,1056,798,67787,68343
23428,1505,1275,1136,93230,93564
23429,1850,1629,1168,185009,185144
23430,1261,1017,856,100859,100865
23431,969,817,593,87107,87835
23432,1512,1297,1118,135603,135616
23433,2143,1713,1331,167198,167344
23434,1075,801,616,94436,94803
23435,1788,1507,1306,136373,136676
23436,1504,1238,1117,148251,121092
23437,1278,1110,690,46498,46991
23438,2061,1892,1082,69247,55135
23439,788,722,628,38908,39046
23440,970,790,593,96167,96299
23441,1065,1002,741,73535,73701
23442,695,669,549,25802,25893
23443,644,601,497,27360,21286
23444,713,647,436,44586,44888
23445,1193,1098,780,64119,64326
23446,777,715,570,45135,45144
23447,1840,1722,1224,70634,70680
23448,1006,868,559,48578,41658
23449,1437,1329,975,39235,39260
23450,1163,1111,866,49571,49733
23451,974,879,599,35163,35359
23452,1076,1023,735,53021,53160
23453,793,733,563,103542,103564
23454,640,543,318,17175,17321
23455,1132,985,610,42596,42727
23456,2093,1969,1418,78171,78345
23457,704,681,517,40165,40264
23458,931,826,548,51370,51731
23459,1501,1430,933,115780,116020
23460,706,653,491,35631,35726
23461,586,530,407,35007,35018
23462,1602,1526,1127,122620,123002
23463,1504,1435,1099,97306,97521
23464,1150,1075,883,69658,69665
23465,1209,1137,931,48616,48728
23466,1129,1060,765,50592,50941
23467,589,568,386,21529,21631
23468,919,854,627,46466,46686
23469,901,842,637,44729,44830
23595,3314,3135,1690,99234,91597
23596,1908,1871,1657,83397,83439
23597,2302,2278,2022,148756,149196
23598,2275,2183,1741,98992,99080
23599,1888,1843,1837,63100,63202
23600,2420,2350,1739,94430,94546
23601,1726,1667,1586,75873,75957
23602,1556,1482,1401,85565,85748
23603,2226,2195,1863,104322,104357
23604,1480,1442,1403,102655,102936
23605,1986,1959,1876,101819,102001
23606,1707,1621,1498,79032,79149
23607,1886,1865,1786,176701,177045
23608,1663,1635,1588,111834,112129
23609,1475,1230,1288,105024,105061
23610,2031,1955,1887,112115,112472
23611,2075,2027,1376,59349,51412
23612,2903,2817,2547,112320,112463
23613,2934,2851,2507,114009,114504
23614,2824,2759,2189,94250,94719
23615,3385,3252,2666,101346,101496
23616,2492,2461,2049,109318,109629
23617,776,765,682,103109,103277
23618,2499,2445,2101,71169,71203
23619,1626,1607,1507,87463,87598
23620,2389,2315,2116,132788,122678
23876,2444,2247,1881,150243,150779
23877,1358,1308,1125,116992,117129
23878,5656,5462,4789,453567,453631
23879,1277,1165,947,56297,56300
23880,1586,1429,1152,49288,49323
23881,2877,2491,2034,200007,200174
23882,2051,1793,1683,128718,129431
23883,1444,1348,1187,44199,44217
23884,2014,1968,1796,69105,69157
23885,1858,1788,1525,55829,55830
23886,2428,2348,2131,126070,126101
23887,2131,2065,1936,113918,113918
23888,1771,1679,1408,115489,115506
23889,1622,1570,1359,118529,118673
23890,1248,1194,1153,86726,86754
23891,2691,2380,1797,72279,72291
23892,1991,1941,1831,127625,127632
23893,3420,3207,2599,219583,219842
23894,888,814,718,24288,24289
23895,2180,2028,1674,86707,86807
23896,1960,1816,1499,141491,141617
23897,2558,2443,2014,76224,76228
23898,2933,2763,2464,133246,133335
23899,2856,2752,2335,222633,181562
23900,2563,2482,2098,99071,99087
23901,4199,3928,3345,147899,147899
23902,1222,1211,1111,49217,49223
23903,2782,2692,2410,87548,87554
23904,1591,1544,1326,118591,118984
23905,2755,2447,1839,217427,217567
23906,1568,1406,1192,150549,123748
23907,2150,2149,2127,76958,78744
23908,2858,2856,2848,142927,144778
23909,1561,1550,1535,49799,50210
23910,2504,2503,2496,105229,106270
23911,1348,1348,1343,81637,83830
23912,2723,2720,2702,118833,120037
23913,2050,2049,2023,60327,60937
23914,2938,2936,2909,195485,198255
23915,3808,3807,3794,477473,477703
23916,2838,2831,2800,178639,178861
23917,1389,1388,1377,40746,40800
23918,3061,3055,3005,145593,149069
23919,3016,3013,2988,154366,156172
23920,876,876,875,70340,53728
24101,172,165,131,6762,6835
24102,13,13,8,485,487
24103,661,559,608,27688,27756
24104,9,9,7,727,727
24175,774,642,525,52809,53389
24176,1267,1008,839,106990,107014
24177,1806,1315,1000,174198,174215
24178,1697,1389,1001,166675,166712
24179,2023,1558,1236,154721,155246
24180,1336,1089,701,122323,122361
24181,2035,1626,1268,149642,149736
24182,2080,1731,1382,115977,115981
24183,1162,958,911,121516,121801
24184,941,714,579,72004,72013
24185,1401,1126,1050,101979,101991
24186,1052,860,593,70803,70824
24187,1796,1497,939,125790,127792
24188,2001,1640,1193,180844,180889
24189,692,566,450,49534,49744
24190,633,542,422,41907,41913
24191,1599,1299,1091,99405,99434
24192,491,422,351,43983,43988
24193,1799,1157,963,110051,110992
24194,1454,1106,841,92105,78542
24195,959,746,606,75878,76133
24196,2697,2200,1791,236500,237183
24197,1552,1295,808,72022,72169
24198,1301,1036,868,96433,96433
24199,1749,1430,1146,135898,136906
24200,492,417,311,24646,24662
24201,1065,786,637,61932,62050
24202,1762,1315,1296,148187,149028
24203,1260,1055,797,67439,67795
24204,1505,1285,1140,93801,94115
24205,1850,1624,1167,186679,186817
24206,1261,988,855,98303,98308
24207,969,817,593,87582,88274
24208,1512,1294,1118,136304,136319
24209,2143,1707,1331,163711,163820
24210,1075,796,613,94562,94915
24211,1788,1507,1305,135542,135794
24212,1504,1195,1117,147084,120295
24213,1278,1110,690,46311,46647
24214,2061,1888,1082,72286,56915
24215,788,722,628,39215,39334
24216,970,787,593,96302,96431
24217,1065,1002,741,74181,74322
24218,695,669,549,26118,26197
24219,644,601,497,27790,21512
24220,713,647,436,46081,46350
24221,1193,1098,780,65112,65292
24222,777,715,570,45693,45698
24223,1840,1722,1224,71694,71743
24224,1006,868,559,50160,41694
24225,1437,1329,975,39892,39927
24226,1163,1112,866,50626,50770
24227,974,879,599,35636,35786
24228,1076,1023,735,53879,53996
24229,793,732,563,105455,105474
24230,640,543,318,17550,17665
24231,1132,987,608,42598,42700
24232,2093,1970,1415,79703,79844
24233,704,681,517,41180,41278
24234,931,826,548,51614,51906
24235,1501,1430,933,115899,116112
24236,706,654,489,35854,35935
24237,586,530,407,35319,35332
24238,1602,1526,1127,120924,121190
24239,1504,1436,1099,98468,98668
24240,1150,1075,883,70161,70166
24241,1209,1136,925,49564,49668
24242,1129,1058,764,51997,52303
24243,589,568,386,21849,21937
24244,919,854,627,46786,46963
24245,901,842,637,45344,45432
24371,3314,3142,1688,98730,89791
24372,1908,1871,1657,84373,84387
24373,2302,2278,2022,143499,143619
24374,2275,2183,1741,96077,96108
24375,1888,1843,1837,63960,63987
24376,2420,2350,1739,96336,96389
24377,1726,1667,1586,72515,72546
24378,1556,1483,1401,86441,86526
24379,2226,2195,1863,102836,102853
24380,1480,1442,1403,100581,100666
24381,1986,1959,1876,95103,95169
24382,1707,1621,1498,78177,78198
24383,1886,1867,1786,180139,180277
24384,1663,1635,1588,111776,111855
24385,1475,1228,1288,105493,105508
24386,2031,1954,1897,110042,110155
24387,2075,2027,1376,59423,51312
24388,2903,2817,2547,112231,112287
24389,2934,2851,2507,113136,113305
24390,2824,2759,2186,94831,94922
24391,3385,3252,2665,101530,101590
24392,2492,2461,2048,109466,109542
24393,776,765,682,103373,103402
24394,2499,2445,2101,72166,72187
24395,1626,1607,1507,86163,86204
24396,2389,2315,2116,130906,121814
24653,2444,2283,1929,149351,149581
24654,1358,1311,1137,116523,116606
24655,5656,5462,4789,402307,402378
24656,1277,1165,947,54056,54056
24657,1586,1449,1170,48683,48693
24658,2877,2487,2035,195927,195979
24659,2051,1795,1703,129617,129993
24660,1444,1348,1187,44182,44184
24661,2014,1968,1795,68388,68413
24662,1858,1786,1524,54540,54541
24663,2428,2348,2134,125765,125773
24664,2131,2065,1936,114737,114737
24665,1771,1701,1512,115616,115624
24666,1622,1570,1359,120850,120916
24667,1248,1195,1156,86205,86213
24668,2691,2395,1825,72975,72979
24669,1991,1943,1830,125145,125145
24670,3420,3213,2605,222388,222528
24671,888,813,713,24344,24345
24672,2180,2030,1674,86879,86881
24673,1960,1816,1499,139516,139563
24674,2558,2445,2015,76402,76403
24675,2933,2761,2468,132376,132396
24676,2856,2755,2327,222672,182083
24677,2563,2482,2098,98801,98803
24678,4199,3928,3339,148635,148635
24679,1222,1211,1111,49667,49669
24680,2782,2696,2410,87228,87229
24681,1591,1544,1330,113262,113336
24682,2755,2453,1842,216874,216967
24683,1568,1408,1192,153010,125995
24684,2150,2149,2125,76366,76878
24685,2858,2856,2850,142127,142796
24686,1561,1549,1530,49388,49517
24687,2504,2504,2495,104850,105344
24688,1348,1348,1347,81432,82318
24689,2723,2720,2703,117629,118130
24690,2050,2049,2023,60411,60577
24691,2938,2936,2915,194391,195486
24692,3808,3808,3790,462415,462483
24693,2838,2833,2808,177913,177991
24694,1389,1389,1377,40050,40071
24695,3061,3053,2998,145472,146843
24696,3016,3013,2993,152539,153019
24697,876,876,875,69604,52482
